parent,level,child_1,child_2,child_3,child_4,child_5,child_6,child_7,child_8,child_9,child_10,child_11,child_12,child_13,child_14,child_15,child_16,child_17,child_18,child_19,child_20,child_21,child_22
#tcg_other (Other TCG),L2,#digimon_cards (Digimon Cards),#my_hero_academia (UniVersus),#flesh_and_blood (Flesh & Blood),#kryptik_cards (Kryptik),#gundam_category (Gundam Cards),#more_other_tcg (Other TCG),#sorcery_contested_realm (Sorcery: Contested Realm),#metazoo (MetaZoo),,,,,,,,,,,,,,
#trading_card_games (Trading Card Games),L1,#pokemon_cards (Pokémon Cards),#magic_cards (Magic: The Gathering),#yugioh_cards (Yu-Gi-Oh! Cards),#weiß_schwarz (Weiß Schwarz),#dragonball_cards (Dragon Ball Cards),#veefriends (VeeFriends),#naruto_cards (Naruto Cards),#one_piece_cards (One Piece Cards),#union_arena (Union Arena),#lorcana (Lorcana),#tcg_other (Other TCG),#riftbound_category (Riftbound),,,,,,,,,,
#motorsport (Motorsport Cards),L2,#f1 (F1 Cards),#nascar (NASCAR Cards),,,,,,,,,,,,,,,,,,,,
#sports_cards (Sports Cards),L1,#football (Football Cards),#basketball_cards (Basketball Cards),#baseball (Baseball Cards),#soccer (Soccer Cards),#ufc (UFC Cards),#hockey_cards (Hockey Cards),#wrestling (Wrestling Cards),#motorsport (Motorsport Cards),#sports_other (Other Sports Cards),#afl_cards (AFL Cards),,,,,,,,,,,,
#sports_memorabilia (Sports Memorabilia),L1,#football_memorabilia (Football Memorabilia),#basketball_memorabilia (Basketball Memorabilia),#baseball_memorabilia (Baseball Memorabilia),#soccer_jerseys (Soccer Memorabilia),#other_memorabilia (Other Sports Memorabilia),,,,,,,,,,,,,,,,,
#toys (Toys & Hobbies),L1,#funko_pop (Funko),#legos (LEGO),#diecast_cars (Diecast),#slot_cars (Slot Cars),#remote_control_vehicles_and_toys (RC Vehicles & Toys),#plush (Plush),#barbies_dolls (Dolls),#designer_toys (Other Designer Toys),#models_kits (Models & Kits),#figpin (FigPin),#fastfood_cereal (Fast Food & Cereal Toys),#vintage_toys (Vintage Toys),#toys_other (Other Toys),#action_figures (Action Figures),#disneyana (Disney),#pop_mart (Labubu & Blind Boxes),#sonny_angels_smiski (Sonny Angels & Smiskis),#star_wars_v2 (Star Wars),#kawaii_other (Kawaii),#bearbrick (Bearbrick),#thrilljoy_category (Thrilljoy),#tabletop_games (Board Games & Puzzles)
#coins_and_money (Coins & Money),L1,#coins_and_bullion (Coins & Bullion),#exonumia (Exonumia),#paper_money_and_currency (Paper Money & Currency),#bnta_dealers (BNTA Dealers),,,,,,,,,,,,,,,,,,
#estate_sales_and_antiques (Estate Sales & Storage Units),L1,#estate_sales (Estate Sales),#storage_units (Storage Unit Finds),#yard_sales (Garage Sales),#other_estate_sales (Other Estate Sales & Storage Units),,,,,,,,,,,,,,,,,,
#craft_supplies (Craft Supplies),L2,#crafts_customs (Beading & Jewelry Making Supplies),#crafts_art_prints (Other Craft Supplies),#quilting_sewing (Quilting, Sewing & Fabric Supplies),#knitting_and_crochet (Knitting & Crochet Supplies),,,,,,,,,,,,,,,,,,
#handmade_items (Handmade Items),L2,#arts_crafts_crafts_not_other (Art & Prints),#handmade_fashion_accessories (Handmade Clothing & Accessories),,,,,,,,,,,,,,,,,,,,
